director,first_actor,second_actor,third_actor,genres,movie_title,soup,overview
Tommy O'Haver,Anne Hathaway,Steve Coogan,Joanna Lumley,Comedy Family Fantasy Romance,ella enchanted,annehathaway stevecoogan joannalumley tommyo'haver Comedy Family Fantasy Romance,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom."
Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks,Biography Drama Sport,concussion,willsmith eddiemarsan albertbrooks peterlandesman Biography Drama Sport,"After a blow to the head, Abby decides she can't do it anymore. Her life just can't be only about the house, the kids and the wife. She needs more: she needs to be Eleanor."
Gary Chapman,Jim Broadbent,Olivia Williams,Pip Torrens,Adventure Animation Comedy Family War,valiant,jimbroadbent oliviawilliams piptorrens garychapman Adventure Animation Comedy Family War,"The animated comedy tells the story of a lowly wood pigeon named Valiant, who overcomes his small size to become a hero in Great Britain's Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel, whilst evading brutal attacks by the enemy's Falcon Brigade."
Curtis Hanson,Robert Downey Jr.,Rip Torn,Richard Thomas,Comedy Drama,wonder boys,robertdowneyjr. riptorn richardthomas curtishanson Comedy Drama,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author."
Craig Mazin,Drake Bell,Tracy Morgan,Marion Ross,Action Comedy Sci-Fi Thriller,superhero movie,drakebell tracymorgan marionross craigmazin Action Comedy Sci-Fi Thriller,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass."
Allen Hughes,Alona Tal,James Ransone,Michael Beach,Crime Drama Thriller,broken city,alonatal jamesransone michaelbeach allenhughes Crime Drama Thriller,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare."
Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,Comedy Horror,cursed,shannonelizabeth portiaderossi derekmears wescraven Comedy Horror,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too."
David Koepp,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,Action Crime Thriller,premium rush,josephgordon-levitt daniaramirez aasifmandvi davidkoepp Action Crime Thriller,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city."
Anne Fletcher,Jim Gaffigan,Richard T. Jones,Michael Mosley,Action Comedy Crime,hot pursuit,jimgaffigan richardt.jones michaelmosley annefletcher Action Comedy Crime,"Young Danny is following his rich girlfriend's family to the Caribbean. But suddenly he simply must make a chemistry test and cannot go with them. After they have left, he gets a leave from his professor and takes a plane to find them. But he is not quite sure where they are, and meets smugglers, crazy captains and murderers."
Shekhar Kapur,Djimon Hounsou,Lucy Gordon,Alex Jennings,Adventure Drama Romance War,the four feathers,djimonhounsou lucygordon alexjennings shekharkapur Adventure Drama Romance War,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward."
Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,Action Crime Romance Thriller,parker,jasonstatham cliftoncollinsjr. wendellpierce taylorhackford Action Crime Romance Thriller,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist."
Richard Loncraine,Kirsten Dunst,Jon Favreau,Austin Nichols,Comedy Romance Sport,wimbledon,kirstendunst jonfavreau austinnichols richardloncraine Comedy Romance Sport,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon."
Roger Kumble,Brendan Fraser,Brooke Shields,Matt Prokop,Comedy Family,furry vengeance,brendanfraser brookeshields mattprokop rogerkumble Comedy Family,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?"
Kimble Rendall,Alex Russell,Cariba Heine,Richard Brancatisano,Action Horror Sci-Fi,bait,alexrussell caribaheine richardbrancatisano kimblerendall Action Horror Sci-Fi,"Landing in jail for a petty theft crime, Alvin finds himself sharing a cell with John Jaster, the incarcerated half of the pair of high-tech thieves responsible for the missing gold. His partner, Bristol, is still at large. Alvin wants only to get out of prison and start fresh with his girlfriend, Lisa, and when the Feds, led by U.S. Treasury investigator Clenteen, set him loose on a sketchy deal, he thinks his luck has changed. Alvin has his freedom and the Feds have found their bait."
Peter Yates,Liam Neeson,Alun Armstrong,Lysette Anthony,Action Adventure Fantasy,krull,liamneeson alunarmstrong lysetteanthony peteryates Action Adventure Fantasy,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.
Robert Redford,Meryl Streep,Tom Cruise,Andrew Garfield,Drama Thriller War,lions for lambs,merylstreep tomcruise andrewgarfield robertredford Drama Thriller War,"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage."
John Milius,Rosanna Arquette,Dann Florek,Christopher Rich,Action Drama Thriller War,flight of the intruder,rosannaarquette dannflorek christopherrich johnmilius Action Drama Thriller War,"U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy, Lt. Cmdr. Virgil Cole, are two soldiers embedded in the Vietnam War growing frustrated by the military's constraints on their missions. Despite the best efforts of their commanding officer, Cmdr. Frank Camparelli, to re-engage them, this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed."
Jake Kasdan,Tim Meadows,Nat Faxon,Matt Price,Comedy Music,walk hard: the dewey cox story,timmeadows natfaxon mattprice jakekasdan Comedy Music,Singer Dewey Cox overcomes adversity to become a musical legend.
Lasse Hallström,Kevin Spacey,Scott Glenn,Jason Behr,Drama,the shipping news,kevinspacey scottglenn jasonbehr lassehallström Drama,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.
Les Mayfield,Gregory Smith,Ronny Cox,Harris Yulin,Action Western,american outlaws,gregorysmith ronnycox harrisyulin lesmayfield Action Western,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jessie James."
Jean-Marc Vallée,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,Biography Drama History Romance,the young victoria,michielhuisman jimbroadbent thomaskretschmann jean-marcvallée Biography Drama History Romance,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.”"
Dominic Sena,Tom Skerritt,Bashar Rahal,Shawn Doyle,Action Crime Mystery Thriller,whiteout,tomskerritt basharrahal shawndoyle dominicsena Action Crime Mystery Thriller,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life."
